"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.91682,0.936,0.44856,0.66968,1.0091,0.94129,0.76409,1.128,1.0284,0.86745,0.94494,0.85126,0.83166,0.51886,0.71826,0.51547,0.3535,0.33169,1.4684,0.83122,0.96354,1.049,2019
0.88836,1.0579,0.64642,0.73228,0.73849,1.0958,0.7916,1.3552,0.90141,0.91329,0.74077,0.62522,0.90353,0.54997,0.87865,0.55168,0.36527,0.46235,1.7968,0.84429,1.1369,1.0332,2020
1.0207,0.43397,0.51924,0.59824,0.80091,1.1657,1.0237,1.4762,1.1284,0.74429,0.73486,0.76593,0.79827,0.62988,0.74046,0.49218,0.40629,0.44861,1.6859,0.88468,0.78811,1.0903,2021
0.9251,0.67904,0.56284,0.56375,0.79759,0.87456,0.88553,1.1217,0.98472,0.99185,0.97542,0.88143,0.49596,0.54079,0.7355,0.53964,0.3727,0.35058,1.8692,1.0494,0.93782,0.92642,2022
0.81693,0.9937,0.69848,0.5443,1.0717,0.87548,1.0232,1.3338,1.0811,0.97228,0.82011,0.74743,0.93164,0.58908,0.86916,0.67418,0.53857,0.60179,1.8808,0.95044,0.78421,1.11,2023
0.87876,0.91512,0.67701,0.73192,0.91518,1.0746,0.9944,1.4232,1.0772,0.72074,0.92896,0.78278,0.76178,0.59865,0.83038,0.50275,0.45336,0.6104,1.5645,0.80409,1.1022,1.1039,2024
0.78363,0.73192,0.74568,0.59267,0.81669,1.1547,0.97866,1.146,0.79601,0.90188,0.88369,0.42775,0.64883,0.58829,0.8376,0.61604,0.3786,0.56434,1.7368,0.97873,0.80372,1.2649,2025
0.93095,1.0878,0.71951,0.70927,0.85529,1.2164,0.89072,1.3309,0.91302,0.98048,1.1246,0.94903,0.86337,0.69821,0.80554,0.3516,0.29343,0.22121,1.5063,1.0776,1.2703,0.84794,2026
0.78278,1.1001,0.81621,0.71792,0.73121,1.147,1.014,1.516,0.89569,0.80533,1.0219,0.64344,0.73263,0.62577,0.93918,0.68437,0.5609,0.61867,1.2722,1.1858,1.0715,1.2131,2027
0.78588,0.99697,0.70329,0.64002,1.0302,0.96759,1.0072,1.5368,1.0195,0.87292,0.89421,0.71131,0.71344,0.66238,0.81509,0.52525,0.48571,0.54018,1.7036,0.91693,1.0488,0.76945,2028
0.8118,0.89252,0.63355,0.57408,0.98276,0.78012,1.069,0.80207,1.1323,1.0723,0.72307,0.61186,0.89103,0.46971,0.84285,0.58032,0.401,0.47127,1.9832,1.054,0.80725,1.5406,2029
0.73931,0.72746,0.67372,0.56948,0.97429,0.82041,1.007,1.7555,1.1309,1.0333,0.86757,0.79678,0.53424,0.55169,0.74434,0.56575,0.38461,0.42599,1.6741,1.0042,0.91107,1.119,2030
0.82359,0.86125,0.51829,0.70026,1.204,0.99214,1.013,1.4108,0.96612,0.94497,0.85297,0.64622,0.80136,0.65575,0.74894,0.6907,0.53409,0.5746,1.6292,1.0148,0.92136,1.1383,2031
