"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.40658,0.37508,0.49515,0.31955,0.65795,0.40232,1.0315,0.9774,0.6351,0.55457,0.36501,0.51529,0.40569,0.53958,0.78768,0.35968,0.38438,0.33461,1.1485,0.53436,0.60109,0.70094,2061
0.39454,0.52536,0.55343,0.65381,0.51414,0.53358,0.82297,1.0286,0.46229,0.5836,0.422,0.65002,0.45561,0.53644,0.70113,0.43775,0.46896,0.33718,1.1245,0.50106,0.66064,0.7262,2062
0.35758,0.49063,0.31305,0.45332,0.56036,0.64067,1.0361,1.1395,0.4955,0.52849,0.456,0.37183,0.34525,0.45237,0.74286,0.35064,0.41999,0.29305,1.0212,0.56354,0.48435,0.4558,2063
0.41605,0.54746,0.38873,0.47652,0.54738,0.5913,0.6804,0.96674,0.7205,0.49278,0.4568,0.58805,0.37436,0.61969,0.56049,0.34975,0.29093,0.45546,1.1075,0.55827,0.55949,0.6055,2064
0.42534,0.59391,0.37818,0.42482,0.67892,0.75368,0.78604,0.91939,0.64279,0.42029,0.49231,0.43763,0.49996,0.61367,0.73454,0.29462,0.30378,0.53705,0.94377,0.70313,0.62265,0.57818,2065
0.39096,0.47579,0.43752,0.49408,0.56342,0.71925,0.94965,0.97794,0.51649,0.34599,0.58172,0.48713,0.42911,0.4602,0.70444,0.34772,0.35969,0.67689,0.69019,0.69413,0.48962,0.60158,2066
0.39531,0.63828,0.49328,0.50602,0.48171,0.67917,0.85058,1.0611,0.56394,0.62868,0.60253,0.46452,0.56367,0.48616,0.82231,0.31581,0.33224,0.35031,0.95703,0.73025,0.41353,0.42063,2067
0.43403,0.50008,0.45992,0.49217,0.78283,0.51899,0.99155,0.89466,0.66982,0.50696,0.59928,0.47052,0.50289,0.46927,0.91945,0.34113,0.4782,0.34876,1.16,0.54352,0.5882,0.52894,2068
0.40327,0.40185,0.47836,0.52803,0.68573,0.66674,1.1267,0.94721,0.60071,0.42785,0.4454,0.41435,0.5604,0.57426,0.66732,0.26916,0.31445,0.36337,1.2032,0.67742,0.56035,1.002,2069
0.39619,0.43563,0.46577,0.55475,0.76198,0.54022,0.67435,0.86438,0.491,0.66538,0.46424,0.49368,0.39086,0.57359,0.81589,0.5097,0.31789,0.42847,1.0472,0.5816,0.66014,0.48286,2070
