"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.45421,0.41739,0.29841,0.2694,0.26013,0.41795,0.57149,0.91019,0.52862,0.43821,0.25983,0.36026,0.40837,0.2922,0.37557,0.33606,0.14504,0.013676,1.1175,0.52309,0.62175,0.8554,2045
0.2405,0.45885,0.20112,0.085557,0.44416,0.54907,0.68553,0.87733,0.54044,0.2123,0.30315,0.46344,0.35105,0.15945,0.26433,0.29432,0.14273,0.080192,0.7235,0.76775,0.44139,0.59241,2046
0.3844,0.39765,0.088134,0.26188,0.22226,0.40363,0.76081,1.1076,0.58486,0.37408,0.32003,0.48517,0.16859,0.37318,0.31885,0.32259,0.090947,0.092603,1.005,0.5704,0.73733,0.25164,2047
0.51095,0.55425,0.31571,0.40534,0.78354,0.4445,0.78768,0.68495,0.69686,0.32349,0.45763,0.45413,0.3952,0.38557,0.51346,0.17158,0.047216,0.055314,1.101,0.61276,0.62279,0.76904,2048
0.44124,0.49748,0.20639,0.23569,0.6754,0.52083,0.49882,0.86682,0.56417,0.28757,0.39425,0.60391,0.16536,0.2291,0.36766,0.28129,0.12641,0.051805,0.82499,0.73202,0.5073,0.40724,2049
0.40074,0.31103,0.17717,0.30201,0.39182,0.50583,0.89155,0.60769,0.65288,0.35351,0.3742,0.56777,0.40508,0.36523,0.36501,0.28684,0.085104,0.057072,0.92905,0.84632,0.35022,0.40955,2050
0.50312,0.58162,0.16248,0.33781,0.40863,0.35547,0.51748,0.83487,0.64199,0.30979,0.32019,0.50052,0.43615,0.40434,0.38774,0.30242,-0.0075597,0.081011,0.69797,0.38468,0.53288,0.51713,2051
0.58331,0.44888,0.24055,-0.0050183,0.20294,0.78026,0.43379,0.93766,0.54755,0.38571,0.35295,0.54179,0.5382,0.22435,0.40558,0.26821,0.094046,0.1129,0.99605,0.55413,0.71018,0.45199,2052
0.39673,0.3212,0.18428,0.47883,0.3409,0.40246,0.61042,0.85405,0.60245,0.3364,0.14915,0.37162,0.53345,0.56379,0.60476,0.42213,0.1072,0.041107,0.85736,0.75735,0.68145,0.51538,2053
0.56252,0.47364,0.15988,0.17444,0.42063,0.44478,0.38907,0.48585,0.43803,0.45361,0.21359,0.38718,0.6129,0.45132,0.54062,0.27936,0.01312,0.025909,1.1508,0.73858,0.93134,0.25237,2054
0.52486,0.39596,0.090016,0.26063,0.55744,0.53908,0.6613,0.75528,0.51141,0.38985,0.36713,0.66519,0.37109,0.45529,0.45711,0.35519,0.075612,0.12332,0.96408,0.34379,0.51177,0.56707,2055
0.66116,0.53704,-0.0041711,0.032595,0.73322,0.35522,0.65605,1.0576,0.65471,0.28279,0.39883,0.57359,0.39756,0.22435,0.33233,0.27722,-0.0055356,0.057731,0.91835,0.53576,0.49166,0.56029,2056
0.63009,0.4956,0.17688,0.25344,0.49482,0.59004,0.66731,0.73707,0.34407,0.40866,0.30484,0.58068,0.37718,0.30414,0.45457,0.34766,0.01683,0.1022,0.83245,0.32391,0.48387,0.45837,2057
0.56902,0.61338,0.19837,0.23157,0.50068,0.60843,0.73345,0.74576,0.54443,0.47041,0.36386,0.46894,0.21358,0.46561,0.52425,0.23904,0.10893,0.055469,0.80065,0.55747,0.53702,0.61127,2058
0.43432,0.54852,0.13282,0.22629,0.52327,0.37296,0.48982,0.68196,0.53302,0.30076,0.23945,0.48931,0.33038,0.42606,0.44797,0.30012,0.16113,0.11712,0.66546,0.61667,0.63067,0.60984,2059
